date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
2023-08-14,18:00,Pro League,Matchweek 1,Mon,Away,W,3.0,1.0,Abha,72.0,7079.0,Abdullah Al-Mayouf,4-2-3-1,Radu Petrescu,Match Report,,26,8,,0,0,2024,Al Hilal
2023-08-19,21:00,Pro League,Matchweek 2,Sat,Home,D,1.0,1.0,Al-Fayha,76.0,59600.0,Abdullah Al-Mayouf,4-2-3-1,Yael Falcón,Match Report,,20,8,,0,0,2024,Al Hilal
2023-08-24,21:00,Pro League,Matchweek 3,Thu,Away,W,4.0,0.0,Al-Raed,60.0,20630.0,Salem Al-Dawsari,4-2-3-1,César Arturo Ramos,Match Report,,20,10,,1,1,2024,Al Hilal
2023-08-28,21:00,Pro League,Matchweek 4,Mon,Home,W,2.0,0.0,Al-Ettifaq,64.0,13656.0,Salem Al-Dawsari,4-2-3-1,Ramon Abatti,Match Report,,21,6,,0,0,2024,Al Hilal
2023-09-01,21:00,Pro League,Matchweek 5,Fri,Away,W,4.0,3.0,Al-Ittihad,56.0,23742.0,Salem Al-Dawsari,4-2-3-1,Mario Escobar,Match Report,,14,7,,1,1,2024,Al Hilal
2023-09-15,21:00,Pro League,Matchweek 6,Fri,Home,W,6.0,1.0,Al-Riyadh SC,67.0,15373.0,Salem Al-Dawsari,4-2-3-1,Tamás Bognár,Match Report,,31,12,,2,2,2024,Al Hilal
2023-09-21,18:00,Pro League,Matchweek 7,Thu,Away,D,1.0,1.0,Damac,55.0,11072.0,Salem Al-Dawsari,4-2-3-1,István Kovács,Match Report,,10,2,,0,0,2024,Al Hilal
2023-09-29,21:00,Pro League,Matchweek 8,Fri,Home,W,2.0,0.0,Al-Shabab,49.0,,Salem Al-Dawsari,4-2-3-1,Iván Barton,Match Report,,23,8,,0,1,2024,Al Hilal
2023-10-07,18:00,Pro League,Matchweek 9,Sat,Away,W,3.0,0.0,Al Okhdood SC,73.0,,Salem Al-Dawsari,4-2-3-1,Halil Umut Meler,Match Report,,22,10,,0,1,2024,Al Hilal
2023-10-20,21:00,Pro League,Matchweek 10,Fri,Home,W,1.0,0.0,Al-Khaleej,66.0,,Salem Al-Dawsari,4-2-3-1,Darío Herrera,Match Report,,20,6,,0,0,2024,Al Hilal
2023-10-27,21:00,Pro League,Matchweek 11,Fri,Home,W,3.0,1.0,Al-Ahli,50.0,50986.0,Salem Al-Dawsari,4-2-3-1,Yael Falcón,Match Report,,12,5,,0,1,2024,Al Hilal
2023-11-03,18:00,Pro League,Matchweek 12,Fri,Away,W,2.0,0.0,Al-Fateh,48.0,,Salem Al-Dawsari,4-2-3-1,Said Martínez,Match Report,,12,7,,1,1,2024,Al Hilal
2023-11-10,18:00,Pro League,Matchweek 13,Fri,Home,W,2.0,0.0,Al-Taawoun,64.0,,Salem Al-Dawsari,4-2-3-1,Iván Barton,Match Report,,14,5,,0,0,2024,Al Hilal
2023-11-25,18:00,Pro League,Matchweek 14,Sat,Away,W,9.0,0.0,Al-Hazem,69.0,,Mohammed Al-Breik,4-2-3-1,Fabio Maresca,Match Report,,23,15,,0,0,2024,Al Hilal
2023-12-01,21:00,Pro League,Matchweek 15,Fri,Home,W,3.0,0.0,Al-Nassr,36.0,,Salem Al-Dawsari,4-2-3-1,Wilmar Roldán,Match Report,,17,6,,0,0,2024,Al Hilal
